ls.names,ls.viz,ls.questions,ls.correct,ls.payment,,ls.names,ls.viz,ls.questions,ls.correct,ls.payment,,ls.names,ls.viz,ls.questions,ls.correct,ls.payment,,,,
4zRq6hPsqtP7FZbhx,chart,12,6,0.5,,2uJJ3CtudEiBaSody,dots,12,6,0.5,,BgpK75C5uxeoHow2C,series,12,2,0.5,,,,
7SnZEt5u4cDaQp3Ti,chart,12,6,0.5,,49wAhBNrW23jx3XXn,dots,12,4,0.5,,JqfvicGQJXeeKRJ64,series,12,6,0.5,,,,
G6zbMK6ZZ9JcN7KgD,chart,12,3,0.5,,4yFSjAcLo8Xpb5NBr,dots,12,7,0.5,,anADbMMrWqwy5fpXL,series,12,6,0.5,,,,
hPNTYGwERATDGDmLd,chart,12,7,0.5,,6w7CZYGQNDrpj7Dfp,dots,12,4,0.5,,eneKDk3QDTpghzkg5,series,12,7,0.5,,,,
k3iaj4mXTYFhTQGFJ,chart,12,5,0.5,,BGRvy45SSZdLGcDG9,dots,12,7,0.5,,hgYDJshRwxs7egfvX,series,12,3,0.5,,,,
qJgXxS5NHQc7JKZkA,chart,12,3,0.5,,DAF22qWpCZ47gHCzY,dots,12,2,0.5,,sndaJBRShTy4bzbPq,series,12,7,0.5,,,,
tk8k2evrrS3s6Yw36,chart,12,4,0.5,,JodzAGSWFtbvdeSqk,dots,12,2,0.5,,wsybRyehJdJyxLfCS,series,12,5,0.5,,,,
wHETwTGT8FX5gYBH3,chart,12,6,0.5,,LzuRw7CoatTcNqkTa,dots,12,6,0.5,,4KdQyosD7zRRXfjoH,series,12,8,2,,,,
28BSxcSTSzpPwQNnn,chart,12,10,2,,SNW8mbjpR7zwT2ARD,dots,12,6,0.5,,EB2LaCrRfSNBuQ4vZ,series,12,10,2,,,,
28CHCCaX86Minmj7c,chart,12,10,2,,TX9Dts9gXNPXMz8rB,dots,12,4,0.5,,FCv2oWcCkT2yFR8q5,series,12,10,2,,,,
2MejMZLQaWQznRtE2,chart,12,9,2,,TkfAAFTqB28dK39oz,dots,12,2,0.5,,FqCqdGdj9BARepSne,series,12,8,2,,,,
