ls.names,ls.viz,ls.questions,ls.timestamp,ls.correct,ls.payment,,ls.names,ls.viz,ls.questions,ls.timestamp,ls.correct,ls.payment,,ls.names,ls.viz,ls.questions,ls.timestamp,ls.correct,ls.payment
dJJPaFTAKzr9T5Faj,chart,1,1476466050824,1,0.5,,YHzTZfhCN43ewQJe2,dots,1,1476458790259,0,0.5,,RnDLq4ewiaq7bGHwg,series,3,1476470527903,3,0.5
WFz2JatiEut2xSSvn,chart,13,1476464296595,2,0.5,,XYBg97mNbPsE3LvZ3,dots,13,1476461334135,2,0.5,,SQHrrqMRPZPWfD6d3,series,12,1476468414606,5,0.5
iQNwNrzPorJeZRigg,chart,12,1476466422846,7,0.5,,xrD4XAdqkrzXYr3km,dots,3,1476461548428,3,0.5,,Eqn4ype3Z9xvpy6jD,series,14,1476467650790,5,0.5
iZc3BMSXq68FKL3J8,chart,13,1476473527297,8,1.5,,rdBwKfSNTAKQWpsGh,dots,14,1476463581156,9,1.5,,uTbjZ8i4j5enGeHvQ,series,13,1476467671481,7,0.5
kE4E4E2Zi474xtpKz,chart,14,1476469099123,9,1.5,,wGNymGb9TrqzwJTbo,dots,12,1476459851851,10,1.5,,W7XciYuzprjnwgbTP,series,12,1476467416982,8,1.5
jW8hRMBPdt2SJEhZK,chart,12,1476464135202,10,1.5,,yqGbGwB4rJziABCxB,dots,12,1476460896030,10,1.5,,rP3cpBASPsit6sCMQ,series,12,1476467183473,9,1.5
oS6C28ZBbcjF9ig5X,chart,12,1476464212549,10,1.5,,6saGvz5mG5TgySvef,dots,12,1476460345353,11,3,,HpKs8JeagNQCAHcYx,series,12,1476467385201,9,1.5
aKpbREh99H6n95KiC,chart,12,1476464273727,10,1.5,,gkKbippZgDj7cmuE5,dots,12,1476460754604,11,3,,xrzoyr6xvKMK57tSi,series,12,1476467479775,9,1.5
CKf5XfBAJpfcGsvT2,chart,12,1476464782792,10,1.5,,6hgn73CdCNRrsor7j,dots,14,1476462660201,11,3,,nnqqJDqAKBySbdvdE,series,12,1476467759247,9,1.5
dZ8KiZZ2E3tazJAkN,chart,12,1476465119406,10,1.5,,YuvzrAZxcQM3iybyi,dots,13,1476460498753,12,3,,6YiN7fLiZ8SDvsbLQ,series,12,1476469438650,9,1.5
