"ls.id","ls.viz","ls.speed","ls.actions","ls.accuracy"
"1","28CHCCaX86Minmj7c","chart",57.7965,5.5,0.75
"2","2MRCHFhT65vrXtvJz","chart",35.587,5,0.75
"3","2MejMZLQaWQznRtE2","chart",53.16075,8,0.75
"4","45jqgtswH3drmsjx5","chart",92.59525,8.5,1
"5","4zRq6hPsqtP7FZbhx","chart",35.77875,2.5,0.5
"6","5JDFvPXkSznwyMAC5","chart",51.12375,5.25,1
"7","6mKtSBrzBBPyic4HP","chart",42.32175,5.25,0.75
"8","7SnZEt5u4cDaQp3Ti","chart",27.854,3.75,0.5
"9","7u5XdW2fvvpQyQEw2","chart",37.62625,2,0.5
"10","8GZPtZAAnG8Fm4ciK","chart",40.07725,7.75,1
"11","9pdsf5midvhEDBrQa","chart",48.707,3.25,1
"12","BcJjiDTZjYJvWTCe3","chart",45.1265,6.25,0.5
"13","CKf5XfBAJpfcGsvT2","chart",49.221,5.5,0.75
"14","D6XMoj2aKSjtJSEJf","chart",53.8605,10,0.5
"15","EmzJRiyqRKCougYZN","chart",103.69875,9.25,0.25
"16","Exj6H7bRPSCjPigQm","chart",45.04075,8.5,1
"17","G6zbMK6ZZ9JcN7KgD","chart",31.57025,1.5,0.25
"18","GDZ999tSLx7bJTjCH","chart",28.8565,10.25,0
"19","HCJjRGzyJLFgbeDem","chart",43.7905,3.75,1
"20","Ke592aJdjyNZ4ntW3","chart",167.9685,6.5,0.75
"21","KmKn9NMEfj2whSPT2","chart",94.07925,14,1
"22","LsyvaxixbfNLFBxLj","chart",41.218,5,0.5
"23","PKgrWHAhesWh7iJ6z","chart",75.105,13.5,0.5
"24","PpXojivkwpZLtvhh7","chart",62.48775,9,0.75
"25","QzCkGfR5Sqv6EkKD5","chart",45.467,5.5,1
"26","R2xdmvvBWBFZjLLLj","chart",43.3245,6.5,0.75
"27","R3xdYFqaJp4J3wGF7","chart",45.241,5.25,1
"28","RHxAXBeu3bNHSrwrH","chart",82.24925,7.25,0.75
"29","SQGukoGkEKRKRwcDQ","chart",43.669,7.5,1
"30","SRXvtxnkZ3oFdqzLQ","chart",36.06625,3,0.75
"31","SbBJYTDgm6FCG7xGG","chart",24.904,5,0.75
"32","Snxk6v7KGNcD3omw3","chart",43.81375,4.75,1
"33","SyhdSuB4y9NgPMA6H","chart",87.5375,23,0.75
"34","W9KmHzPDL9zgejZBv","chart",48.6255,8.75,1
"35","WT6eAuzxb2q9D2dKy","chart",44.9895,6,1
"36","Y8MQD9crBw3XCtvHa","chart",59.1565,6.75,0.5
"37","Y8eiaT7fnGm8vH2s9","chart",46.6345,4.5,0.75
"38","YL7udNgoFoKPu5hF5","chart",61.687,9.5,1
"39","Yr5Zvv6H9SZSqizrr","chart",43.578,4.75,1
"40","ZBLBSAhYkJ4YhKXHy","chart",76.3485,12.75,0.75
"41","ZLTTgMCadn3BcvAuZ","chart",35.21575,7.25,1
"42","Zozdc9QR8pqdDuEwD","chart",77.96025,8,0.75
"43","ZvNs6QCxpMBYhpfAo","chart",66.04025,5.75,0.75
"44","aKpbREh99H6n95KiC","chart",65.73625,20.5,0.75
"45","bByT7Rh9roCmbqaGC","chart",30.26275,7.75,0.75
"46","bsEpkh7YojCJLghEd","chart",57.18775,6,0.75
"47","cgYyY4fTJXA56ctZL","chart",53.8695,5.5,0.5
"48","cr57saSB3apE9rfTz","chart",68.41025,6.25,0.75
"49","d4WEZyZkMm48TdGgs","chart",77.99575,4.75,1
"50","dYCJXPSnQ9T3YobK4","chart",56.424,4,1
"51","dZ8KiZZ2E3tazJAkN","chart",41.36775,8.5,1
"52","deejY9yj8hNefPrXY","chart",127.49175,8.75,0.5
"53","dmd8zDgoEDghk799k","chart",60.47725,7.25,0.25
"54","g5GEZn5hfoCkLqBLv","chart",39.514,6,1
"55","gfs5G7LwXHLy9S5MP","chart",131.2775,4.75,1
"56","ghaAPFo6Xv3B9BZLK","chart",88.09775,7.25,0.5
"57","hPNTYGwERATDGDmLd","chart",33.9745,2.5,0.25
"58","iQNwNrzPorJeZRigg","chart",71.92275,6,0.25
"59","iZc3BMSXq68FKL3J8","chart",75.78275,8.25,0.5
"60","jW8hRMBPdt2SJEhZK","chart",87.7515,10,0.75
"61","k3iaj4mXTYFhTQGFJ","chart",41.0025,2.25,0.25
"62","kE4E4E2Zi474xtpKz","chart",151.589,5.5,0.75
"63","mTp5RGkhAozn3pQki","chart",74.5005,5.5,1
"64","nisosFZ4dTEcXEdk3","chart",33.829,5,0.75
"65","oS6C28ZBbcjF9ig5X","chart",29.36625,4.5,0.75
"66","op7kCpeMH7kgetiMX","chart",110.0305,15.5,0.5
"67","pBWdGHFmTu4Qw4snK","chart",60.90625,7.25,0.75
"68","pBZkpnAEoktK8YKwE","chart",49.53975,12.5,0.75
"69","qJgXxS5NHQc7JKZkA","chart",11.1435,2.25,0.25
"70","qtXFYALWvHiRafMvt","chart",36.0325,9,0.75
"71","rd8ivR2ve6AZXcqWp","chart",40.89275,3.75,1
"72","rpWb9YHJxpBKBy7pb","chart",62.225,4.75,0.5
"73","sF9AdTFX7AJhypvCG","chart",56.8415,6.5,0.5
"74","t44ry6X7EnsvdqB6P","chart",89.77575,12.25,1
"75","tPBRJZguAyGyNN4H8","chart",103.47925,8.25,0.75
"76","tk8k2evrrS3s6Yw36","chart",40.659,1.25,0.5
"77","vAm5piEWXfCXNsY7B","chart",53.26075,4.25,0.25
"78","vF4rwKEvi8otv5Pmx","chart",75.05,7,1
"79","vKEtys3s8MppqDY9s","chart",54.964,8.5,0.5
"80","w9xJDy63X4ixWuFvo","chart",39.893,4.5,1
"81","wHETwTGT8FX5gYBH3","chart",47.13175,5,0.5
"82","xHrZaMN5Gg4n9xQsT","chart",65.27225,6.25,1
"83","xsLJWtHndc8s8WCce","chart",86.2035,10.75,0.75
"84","zncMWhGYQGmJSzXqa","chart",60.0215,5.25,1
