"ls.id","ls.viz","ls.speed","ls.actions","ls.accuracy"
"1","28CHCCaX86Minmj7c","chart",63.87025,5.5,0.75
"2","2MRCHFhT65vrXtvJz","chart",39.22925,6.5,1
"3","2MejMZLQaWQznRtE2","chart",48.92425,8.5,0.75
"4","45jqgtswH3drmsjx5","chart",59.74225,10.5,0.5
"5","4zRq6hPsqtP7FZbhx","chart",40.3515,3.25,0.5
"6","5JDFvPXkSznwyMAC5","chart",42.155,6,0.5
"7","6mKtSBrzBBPyic4HP","chart",39.83075,6,0.75
"8","7SnZEt5u4cDaQp3Ti","chart",74.146,6,0.25
"9","7u5XdW2fvvpQyQEw2","chart",58.64725,4.25,1
"10","8GZPtZAAnG8Fm4ciK","chart",48.72325,14.25,0.5
"11","9pdsf5midvhEDBrQa","chart",41.37775,4.5,1
"12","BcJjiDTZjYJvWTCe3","chart",51.72675,7,1
"13","CKf5XfBAJpfcGsvT2","chart",34.08725,7.5,0.75
"14","D6XMoj2aKSjtJSEJf","chart",36.479,5.5,0.75
"15","EmzJRiyqRKCougYZN","chart",25.63875,7.5,0.25
"16","Exj6H7bRPSCjPigQm","chart",22.04325,6.5,0.75
"17","G6zbMK6ZZ9JcN7KgD","chart",27.87575,1.25,0.25
"18","GDZ999tSLx7bJTjCH","chart",15.61125,8,0.5
"19","HCJjRGzyJLFgbeDem","chart",44.99775,7.25,1
"20","Ke592aJdjyNZ4ntW3","chart",43.6355,6.25,0.75
"21","KmKn9NMEfj2whSPT2","chart",69.615,10.5,1
"22","LsyvaxixbfNLFBxLj","chart",48.11275,11.75,0.75
"23","PKgrWHAhesWh7iJ6z","chart",33.66825,9.25,0.75
"24","PpXojivkwpZLtvhh7","chart",70.33,9.5,1
"25","QzCkGfR5Sqv6EkKD5","chart",44.73775,6.75,1
"26","R2xdmvvBWBFZjLLLj","chart",72.5505,20.25,0.75
"27","R3xdYFqaJp4J3wGF7","chart",33.108,6.25,1
"28","RHxAXBeu3bNHSrwrH","chart",52.27275,6.5,1
"29","SQGukoGkEKRKRwcDQ","chart",41.1925,7.75,1
"30","SRXvtxnkZ3oFdqzLQ","chart",41.8485,6.25,0.75
"31","SbBJYTDgm6FCG7xGG","chart",32.61125,7,1
"32","Snxk6v7KGNcD3omw3","chart",40.16325,8,1
"33","SyhdSuB4y9NgPMA6H","chart",50.92975,11.5,1
"34","W9KmHzPDL9zgejZBv","chart",34.45725,6.25,1
"35","WT6eAuzxb2q9D2dKy","chart",42.1835,8.75,0.75
"36","Y8MQD9crBw3XCtvHa","chart",42.95975,7,0.75
"37","Y8eiaT7fnGm8vH2s9","chart",64.32,6.75,1
"38","YL7udNgoFoKPu5hF5","chart",101.84925,13.25,1
"39","Yr5Zvv6H9SZSqizrr","chart",65.82375,6,1
"40","ZBLBSAhYkJ4YhKXHy","chart",48.11475,11,1
"41","ZLTTgMCadn3BcvAuZ","chart",40.576,8.5,1
