"ls.id","ls.viz","ls.speed","ls.actions","ls.accuracy"
"1","28CHCCaX86Minmj7c","chart",30.452,3.75,1
"2","2MRCHFhT65vrXtvJz","chart",36.91325,6,1
"3","2MejMZLQaWQznRtE2","chart",49.188,6,0.75
"4","45jqgtswH3drmsjx5","chart",68.44425,10,0.75
"5","4zRq6hPsqtP7FZbhx","chart",30.45975,3.5,0.5
"6","5JDFvPXkSznwyMAC5","chart",44.18125,5.5,1
"7","6mKtSBrzBBPyic4HP","chart",33.289,5,1
"8","7SnZEt5u4cDaQp3Ti","chart",37.2735,4.75,0.75
"9","7u5XdW2fvvpQyQEw2","chart",25.67025,2.25,0.75
"10","8GZPtZAAnG8Fm4ciK","chart",33.5485,6,0.75
"11","9pdsf5midvhEDBrQa","chart",51.069,5.75,0.75
"12","BcJjiDTZjYJvWTCe3","chart",74.29275,8,1
"13","CKf5XfBAJpfcGsvT2","chart",35.70225,6.25,1
"14","D6XMoj2aKSjtJSEJf","chart",36.82775,8.25,1
"15","EmzJRiyqRKCougYZN","chart",27.20975,6.75,0.5
"16","Exj6H7bRPSCjPigQm","chart",47.64775,6.75,1
"17","G6zbMK6ZZ9JcN7KgD","chart",35.446,1.25,0.25
"18","GDZ999tSLx7bJTjCH","chart",15.0585,12,0
"19","HCJjRGzyJLFgbeDem","chart",49.622,5,0.75
"20","Ke592aJdjyNZ4ntW3","chart",45.03725,4.75,1
"21","KmKn9NMEfj2whSPT2","chart",40.939,8.5,0.75
"22","LsyvaxixbfNLFBxLj","chart",47.6185,7,0.75
"23","PKgrWHAhesWh7iJ6z","chart",50.6355,8.75,0.75
"24","PpXojivkwpZLtvhh7","chart",52.05525,7.75,1
"25","QzCkGfR5Sqv6EkKD5","chart",35.62,5.5,1
"26","R2xdmvvBWBFZjLLLj","chart",57.3955,8.25,1
"27","R3xdYFqaJp4J3wGF7","chart",28.2095,6,1
"28","RHxAXBeu3bNHSrwrH","chart",82.48875,8.25,1
"29","SQGukoGkEKRKRwcDQ","chart",35.66,9.25,1
"30","SRXvtxnkZ3oFdqzLQ","chart",37.1235,4.75,0.5
"31","SbBJYTDgm6FCG7xGG","chart",19.8985,4.5,1
"32","Snxk6v7KGNcD3omw3","chart",40.23125,4.75,1
"33","SyhdSuB4y9NgPMA6H","chart",40.81925,9.75,1
"34","W9KmHzPDL9zgejZBv","chart",68.3585,5.25,1
"35","WT6eAuzxb2q9D2dKy","chart",37.967,5.5,1
"36","Y8MQD9crBw3XCtvHa","chart",50.3465,5.25,1
"37","Y8eiaT7fnGm8vH2s9","chart",39.13375,4.75,1
"38","YL7udNgoFoKPu5hF5","chart",42.98275,8.75,1
"39","Yr5Zvv6H9SZSqizrr","chart",35.142,5.25,0.75
"40","ZBLBSAhYkJ4YhKXHy","chart",54.71825,9,1
"41","ZLTTgMCadn3BcvAuZ","chart",47.30725,15.75,1
"42","Zozdc9QR8pqdDuEwD","chart",48.3255,6.5,1
"43","ZvNs6QCxpMBYhpfAo","chart",60.5705,6,0.5
"44","aKpbREh99H6n95KiC","chart",42.78825,6,0.75
"45","bByT7Rh9roCmbqaGC","chart",32.00675,7,1
"46","bsEpkh7YojCJLghEd","chart",57.01575,6.75,1
"47","cgYyY4fTJXA56ctZL","chart",38.979,5.5,1
"48","cr57saSB3apE9rfTz","chart",45.2375,4.5,1
"49","d4WEZyZkMm48TdGgs","chart",69.51175,7,1
