"user","viz","accuracy","difficulty"
"28CHCCaX86Minmj7c","chart",0.75,"easy"
"2MRCHFhT65vrXtvJz","chart",0.75,"easy"
"2MejMZLQaWQznRtE2","chart",0.75,"easy"
"45jqgtswH3drmsjx5","chart",1,"easy"
"4zRq6hPsqtP7FZbhx","chart",0.5,"easy"
"5JDFvPXkSznwyMAC5","chart",1,"easy"
"6mKtSBrzBBPyic4HP","chart",0.75,"easy"
"7SnZEt5u4cDaQp3Ti","chart",0.5,"easy"
"7u5XdW2fvvpQyQEw2","chart",0.5,"easy"
"8GZPtZAAnG8Fm4ciK","chart",1,"easy"
"9pdsf5midvhEDBrQa","chart",1,"easy"
"BcJjiDTZjYJvWTCe3","chart",0.5,"easy"
"CKf5XfBAJpfcGsvT2","chart",0.75,"easy"
"D6XMoj2aKSjtJSEJf","chart",0.5,"easy"
"EmzJRiyqRKCougYZN","chart",0.25,"easy"
"Exj6H7bRPSCjPigQm","chart",1,"easy"
"G6zbMK6ZZ9JcN7KgD","chart",0.25,"easy"
"GDZ999tSLx7bJTjCH","chart",0,"easy"
"HCJjRGzyJLFgbeDem","chart",1,"easy"
"Ke592aJdjyNZ4ntW3","chart",0.75,"easy"
"KmKn9NMEfj2whSPT2","chart",1,"easy"
"LsyvaxixbfNLFBxLj","chart",0.5,"easy"
"PKgrWHAhesWh7iJ6z","chart",0.5,"easy"
"PpXojivkwpZLtvhh7","chart",0.75,"easy"
"QzCkGfR5Sqv6EkKD5","chart",1,"easy"
"R2xdmvvBWBFZjLLLj","chart",0.75,"easy"
"R3xdYFqaJp4J3wGF7","chart",1,"easy"
"RHxAXBeu3bNHSrwrH","chart",0.75,"easy"
"SQGukoGkEKRKRwcDQ","chart",1,"easy"
"SRXvtxnkZ3oFdqzLQ","chart",0.75,"easy"
"SbBJYTDgm6FCG7xGG","chart",0.75,"easy"
"Snxk6v7KGNcD3omw3","chart",1,"easy"
"SyhdSuB4y9NgPMA6H","chart",0.75,"easy"
"W9KmHzPDL9zgejZBv","chart",1,"easy"
"WT6eAuzxb2q9D2dKy","chart",1,"easy"
"Y8MQD9crBw3XCtvHa","chart",0.5,"easy"
"Y8eiaT7fnGm8vH2s9","chart",0.75,"easy"
"YL7udNgoFoKPu5hF5","chart",1,"easy"
"Yr5Zvv6H9SZSqizrr","chart",1,"easy"
"ZBLBSAhYkJ4YhKXHy","chart",0.75,"easy"
"ZLTTgMCadn3BcvAuZ","chart",1,"easy"
"Zozdc9QR8pqdDuEwD","chart",0.75,"easy"
"ZvNs6QCxpMBYhpfAo","chart",0.75,"easy"
"aKpbREh99H6n95KiC","chart",0.75,"easy"
"bByT7Rh9roCmbqaGC","chart",0.75,"easy"
"bsEpkh7YojCJLghEd","chart",0.75,"easy"
"cgYyY4fTJXA56ctZL","chart",0.5,"easy"
"cr57saSB3apE9rfTz","chart",0.75,"easy"
"d4WEZyZkMm48TdGgs","chart",1,"easy"
"dYCJXPSnQ9T3YobK4","chart",1,"easy"
"dZ8KiZZ2E3tazJAkN","chart",1,"easy"
"deejY9yj8hNefPrXY","chart",0.5,"easy"
"dmd8zDgoEDghk799k","chart",0.25,"easy"
"g5GEZn5hfoCkLqBLv","chart",1,"easy"
"gfs5G7LwXHLy9S5MP","chart",1,"easy"
"ghaAPFo6Xv3B9BZLK","chart",0.5,"easy"
"hPNTYGwERATDGDmLd","chart",0.25,"easy"
"iQNwNrzPorJeZRigg","chart",0.25,"easy"
"iZc3BMSXq68FKL3J8","chart",0.5,"easy"
"jW8hRMBPdt2SJEhZK","chart",0.75,"easy"
"k3iaj4mXTYFhTQGFJ","chart",0.25,"easy"
"kE4E4E2Zi474xtpKz","chart",0.75,"easy"
"mTp5RGkhAozn3pQki","chart",1,"easy"
"nisosFZ4dTEcXEdk3","chart",0.75,"easy"
