"user","viz","actions","difficulty"
"28CHCCaX86Minmj7c","chart",5.5,"easy"
"2MRCHFhT65vrXtvJz","chart",5,"easy"
"2MejMZLQaWQznRtE2","chart",8,"easy"
"45jqgtswH3drmsjx5","chart",8.5,"easy"
"4zRq6hPsqtP7FZbhx","chart",2.5,"easy"
"5JDFvPXkSznwyMAC5","chart",5.25,"easy"
"6mKtSBrzBBPyic4HP","chart",5.25,"easy"
"7SnZEt5u4cDaQp3Ti","chart",3.75,"easy"
"7u5XdW2fvvpQyQEw2","chart",2,"easy"
"8GZPtZAAnG8Fm4ciK","chart",7.75,"easy"
"9pdsf5midvhEDBrQa","chart",3.25,"easy"
"BcJjiDTZjYJvWTCe3","chart",6.25,"easy"
"CKf5XfBAJpfcGsvT2","chart",5.5,"easy"
"D6XMoj2aKSjtJSEJf","chart",10,"easy"
"EmzJRiyqRKCougYZN","chart",9.25,"easy"
"Exj6H7bRPSCjPigQm","chart",8.5,"easy"
"G6zbMK6ZZ9JcN7KgD","chart",1.5,"easy"
"GDZ999tSLx7bJTjCH","chart",10.25,"easy"
"HCJjRGzyJLFgbeDem","chart",3.75,"easy"
"Ke592aJdjyNZ4ntW3","chart",6.5,"easy"
"KmKn9NMEfj2whSPT2","chart",14,"easy"
"LsyvaxixbfNLFBxLj","chart",5,"easy"
"PKgrWHAhesWh7iJ6z","chart",13.5,"easy"
"PpXojivkwpZLtvhh7","chart",9,"easy"
"QzCkGfR5Sqv6EkKD5","chart",5.5,"easy"
"R2xdmvvBWBFZjLLLj","chart",6.5,"easy"
"R3xdYFqaJp4J3wGF7","chart",5.25,"easy"
"RHxAXBeu3bNHSrwrH","chart",7.25,"easy"
"SQGukoGkEKRKRwcDQ","chart",7.5,"easy"
"SRXvtxnkZ3oFdqzLQ","chart",3,"easy"
"SbBJYTDgm6FCG7xGG","chart",5,"easy"
"Snxk6v7KGNcD3omw3","chart",4.75,"easy"
"SyhdSuB4y9NgPMA6H","chart",23,"easy"
"W9KmHzPDL9zgejZBv","chart",8.75,"easy"
"WT6eAuzxb2q9D2dKy","chart",6,"easy"
"Y8MQD9crBw3XCtvHa","chart",6.75,"easy"
"Y8eiaT7fnGm8vH2s9","chart",4.5,"easy"
"YL7udNgoFoKPu5hF5","chart",9.5,"easy"
"Yr5Zvv6H9SZSqizrr","chart",4.75,"easy"
"ZBLBSAhYkJ4YhKXHy","chart",12.75,"easy"
"ZLTTgMCadn3BcvAuZ","chart",7.25,"easy"
"Zozdc9QR8pqdDuEwD","chart",8,"easy"
"ZvNs6QCxpMBYhpfAo","chart",5.75,"easy"
"aKpbREh99H6n95KiC","chart",20.5,"easy"
"bByT7Rh9roCmbqaGC","chart",7.75,"easy"
"bsEpkh7YojCJLghEd","chart",6,"easy"
"cgYyY4fTJXA56ctZL","chart",5.5,"easy"
"cr57saSB3apE9rfTz","chart",6.25,"easy"
"d4WEZyZkMm48TdGgs","chart",4.75,"easy"
"dYCJXPSnQ9T3YobK4","chart",4,"easy"
"dZ8KiZZ2E3tazJAkN","chart",8.5,"easy"
"deejY9yj8hNefPrXY","chart",8.75,"easy"
"dmd8zDgoEDghk799k","chart",7.25,"easy"
"g5GEZn5hfoCkLqBLv","chart",6,"easy"
"gfs5G7LwXHLy9S5MP","chart",4.75,"easy"
"ghaAPFo6Xv3B9BZLK","chart",7.25,"easy"
"hPNTYGwERATDGDmLd","chart",2.5,"easy"
"iQNwNrzPorJeZRigg","chart",6,"easy"
"iZc3BMSXq68FKL3J8","chart",8.25,"easy"
"jW8hRMBPdt2SJEhZK","chart",10,"easy"
"k3iaj4mXTYFhTQGFJ","chart",2.25,"easy"
"kE4E4E2Zi474xtpKz","chart",5.5,"easy"
"mTp5RGkhAozn3pQki","chart",5.5,"easy"
"nisosFZ4dTEcXEdk3","chart",5,"easy"
"oS6C28ZBbcjF9ig5X","chart",4.5,"easy"
"op7kCpeMH7kgetiMX","chart",15.5,"easy"
"pBWdGHFmTu4Qw4snK","chart",7.25,"easy"
"pBZkpnAEoktK8YKwE","chart",12.5,"easy"
"qJgXxS5NHQc7JKZkA","chart",2.25,"easy"
"qtXFYALWvHiRafMvt","chart",9,"easy"
"rd8ivR2ve6AZXcqWp","chart",3.75,"easy"
"rpWb9YHJxpBKBy7pb","chart",4.75,"easy"
"sF9AdTFX7AJhypvCG","chart",6.5,"easy"
"t44ry6X7EnsvdqB6P","chart",12.25,"easy"
"tPBRJZguAyGyNN4H8","chart",8.25,"easy"
"tk8k2evrrS3s6Yw36","chart",1.25,"easy"
"vAm5piEWXfCXNsY7B","chart",4.25,"easy"
"vF4rwKEvi8otv5Pmx","chart",7,"easy"
"vKEtys3s8MppqDY9s","chart",8.5,"easy"
"w9xJDy63X4ixWuFvo","chart",4.5,"easy"
"wHETwTGT8FX5gYBH3","chart",5,"easy"
"xHrZaMN5Gg4n9xQsT","chart",6.25,"easy"
"xsLJWtHndc8s8WCce","chart",10.75,"easy"
"zncMWhGYQGmJSzXqa","chart",5.25,"easy"
"2Q34zAD2zTXRBaKu8","series",9,"easy"
"2pWSXLKqvCx7eLRHz","series",7,"easy"
"44MoHdTtHYg8Qim7C","series",10.25,"easy"
"5jp6HzWG9rMCBuRir","series",7.5,"easy"
"67e6Jh7hWzotbX4Er","series",12.75,"easy"
"6YiN7fLiZ8SDvsbLQ","series",6.75,"easy"
"6zyqucmdag4Xa4iSN","series",5.25,"easy"
"7kwt7pEsqN4qM28QR","series",7.25,"easy"
"7rxAoRJmJHaX26cqT","series",4,"easy"
"83NZFPecaGdFaxyyt","series",10,"easy"
"8mqew4zMANoi4fjsz","series",14,"easy"
"9bnFuHDpLcZFdwqxW","series",6,"easy"
"BgpK75C5uxeoHow2C","series",8,"easy"
"CBdaPJBEBq2xTJvgi","series",5.75,"easy"
"CzQsYF2oyREYEL3px","series",5.75,"easy"
"DAK7qCYagGXaKmTZy","series",3.25,"easy"
"DpfKW34oXPR9XvjKQ","series",6.25,"easy"
"EB2LaCrRfSNBuQ4vZ","series",9.75,"easy"
"EbtiYzqZtKd68LSjv","series",7.5,"easy"
"Eqn4ype3Z9xvpy6jD","series",9,"easy"
"FMACGWEb2mpFmzcy8","series",7.5,"easy"
"FTWQdHzfYQebiCvue","series",5.5,"easy"
"FqCqdGdj9BARepSne","series",5.75,"easy"
"HR5hGs4XkMDoDYfhQ","series",6,"easy"
"HStqpovWTqfwSwfpC","series",5.75,"easy"
"HSzZRx9bSdXWiRdLk","series",3.5,"easy"
"HYLe8iN7tKsJQZQjt","series",9.5,"easy"
"HpKs8JeagNQCAHcYx","series",6.25,"easy"
"HttjEXro9w8B2reDD","series",10,"easy"
"JqfvicGQJXeeKRJ64","series",13.5,"easy"
"JtNC5LZmmsmt7BrXm","series",4,"easy"
"KBG93DoQC4YeksP73","series",11.25,"easy"
"KDkcqMDJgbEfuyecm","series",5.5,"easy"
"KSaHABwnWq7vMF8ud","series",8.75,"easy"
"KXyDP5KMrmHR7bWvw","series",6,"easy"
"KeeScEwzE7d7Y8pjM","series",4.75,"easy"
"Ks7TdoNZwHMhapYuY","series",10.25,"easy"
"L6hhWSmzt5Gre4bMc","series",6,"easy"
"NLnWB24ANhreeNFuh","series",3.5,"easy"
"NZrcevWgubZ6E9Lc4","series",7.25,"easy"
"NisupxDZ8oQayBpB5","series",5.75,"easy"
"NzaXeMLv7jexivZFF","series",3.75,"easy"
"SQHrrqMRPZPWfD6d3","series",16.5,"easy"
"SphgvbbrKkYNYaWNd","series",6.75,"easy"
"TJadZckir3gGdGQj9","series",10.25,"easy"
"TZKHo2T9ywkiKhPyX","series",15.5,"easy"
"TbhJt2kCMtWXJ387e","series",5.5,"easy"
"W7XciYuzprjnwgbTP","series",3,"easy"
"WW9zqyfyPHjFS6fPR","series",3,"easy"
"We3Btupw8RnuCSnYC","series",7,"easy"
"YDbqWAi595CRKxbjf","series",7.5,"easy"
"YJzWPZRYPHG3rRrBw","series",6.75,"easy"
"YSX6542MwRYTZdDFW","series",11,"easy"
"Z3aTLPbG8wvPy6TzA","series",5.25,"easy"
"ZHNtTdcsi2rTaqr3H","series",12.25,"easy"
"ZinxDRBpTmbfPbyh3","series",8.75,"easy"
"anADbMMrWqwy5fpXL","series",6.5,"easy"
"dLfWKPg4vzZENza7s","series",5.25,"easy"
"dtQA2mR79kEjZbCtx","series",8.75,"easy"
"eJLcPS8n3aLYMZetQ","series",6.25,"easy"
"eWYf558HzqZYTLXjd","series",10,"easy"
"eneKDk3QDTpghzkg5","series",8.25,"easy"
"fJ9m7KSykZNBKraP9","series",13.25,"easy"
"fnybrL5hbku3RuxsW","series",9,"easy"
"fqMr9DzgADfvbhEFP","series",7.75,"easy"
"g8752kBeS4S7Q2bFZ","series",6.5,"easy"
"gjHnYbyFFisfigApY","series",5.25,"easy"
"hgYDJshRwxs7egfvX","series",10.5,"easy"
"iACT8Wc9PosXt7xH6","series",6.5,"easy"
"jT3SAdPp5gfHr4k4n","series",4.75,"easy"
"jbuSnNTzpPv7iQPGq","series",7.5,"easy"
"kJCFGZGPqBPM5NiEu","series",7.25,"easy"
"kuA7hMBw2iFfwZ9fw","series",5,"easy"
"mh9p2kSQWvM8uAEK7","series",9.25,"easy"
"nAPiCihqksXL2XbTM","series",8,"easy"
"nPCqhcMdGm39zbLEe","series",3.75,"easy"
"nnqqJDqAKBySbdvdE","series",7.5,"easy"
"obXkTyEzXzSrubofE","series",4.75,"easy"
"qNMBxhDWJv2wbJPzh","series",5.5,"easy"
"qZwnWqNYBMnLCHzz2","series",10.5,"easy"
"qjzv49dPMBpv5LSyA","series",3.75,"easy"
"rP3cpBASPsit6sCMQ","series",7.25,"easy"
"sndaJBRShTy4bzbPq","series",13.5,"easy"
"stmcDKF2QPkaxzcxZ","series",12,"easy"
"uTbjZ8i4j5enGeHvQ","series",8.5,"easy"
"uf8PMATFx4hCcscLz","series",5.25,"easy"
"vF6k2cJjTXN2jH9Jj","series",8,"easy"
"vSzr7miAEFuvzip2b","series",6.75,"easy"
"vTe2CEZbj9q8wkhYc","series",11.25,"easy"
"vhAsiBXaDHghxPSTn","series",4,"easy"
"wHpjq3hzhkJu5kNHm","series",9.5,"easy"
"wRfXsATRbv699hZeG","series",4.25,"easy"
"wpHaTDLSHxwWcei3T","series",6.75,"easy"
"wsybRyehJdJyxLfCS","series",1,"easy"
"wtNK7f3ZzgkWHgCEN","series",5,"easy"
"wyjoPhnY2LzWWZAAh","series",5,"easy"
"xrzoyr6xvKMK57tSi","series",4.5,"easy"
"yMWvDqhxa73veYGvv","series",6.5,"easy"
"44Q3cDweeZi2KdNrQ","dots",6.25,"easy"
"49wAhBNrW23jx3XXn","dots",2.25,"easy"
"4k5RPShwnGPRsGyT5","dots",6,"easy"
"4yFSjAcLo8Xpb5NBr","dots",7,"easy"
"565FWNPmM73esEnv7","dots",9.5,"easy"
"5L4DdJBz8gq2Fug2c","dots",5.5,"easy"
"6bJLH7KTRKX24rdzY","dots",5.5,"easy"
"6hgn73CdCNRrsor7j","dots",10.25,"easy"
"6saGvz5mG5TgySvef","dots",4.25,"easy"
"6uWMQQ6rvPijqaHNb","dots",7.25,"easy"
"6w7CZYGQNDrpj7Dfp","dots",1.75,"easy"
"7mkiJ4PwnZGd2X5r3","dots",7.5,"easy"
"7sxqmnM8jPLCjgvur","dots",4.75,"easy"
"BGRvy45SSZdLGcDG9","dots",11,"easy"
"BRKEpiDsoBxXrNKWE","dots",12,"easy"
"ChMyMnHcj3MDEjgQT","dots",6.25,"easy"
"DAF22qWpCZ47gHCzY","dots",1.25,"easy"
"DejXtMhqHs5NKZnzH","dots",5,"easy"
"G6dBvgqckNkQ6g2gB","dots",10.25,"easy"
"GEZt6ZhsCGbMQtuXb","dots",6,"easy"
"GJs3xFDrbmEwXYAkh","dots",5.75,"easy"
"GM4BbQSYSjxzjrERS","dots",12.75,"easy"
"JTxorRPnKEGqjSq4K","dots",6,"easy"
"Je8XpG9m9hC9hToY4","dots",2,"easy"
"JkH5ARHNWebYz6nGM","dots",5.25,"easy"
"JodzAGSWFtbvdeSqk","dots",1.75,"easy"
"KT37QyJpjP4JnFivG","dots",10.25,"easy"
"LHMtg4o7REozFZQst","dots",5.75,"easy"
"LzuRw7CoatTcNqkTa","dots",18.25,"easy"
"NQCMNnTz4xWZApaQB","dots",1.5,"easy"
"NWX67F5zDpwL4WnxW","dots",5,"easy"
"PwEBrnoa3rZjouL34","dots",5.5,"easy"
"QYunZ6tMA7J26vjAd","dots",7,"easy"
"So6vS7RTzcjczT2Ez","dots",6.25,"easy"
"TX9Dts9gXNPXMz8rB","dots",8.25,"easy"
"TkfAAFTqB28dK39oz","dots",8.25,"easy"
