"user","viz","speed","difficulty"
"28CHCCaX86Minmj7c","chart",57.7965,"easy"
"2MRCHFhT65vrXtvJz","chart",35.587,"easy"
"2MejMZLQaWQznRtE2","chart",53.16075,"easy"
"45jqgtswH3drmsjx5","chart",92.59525,"easy"
"4zRq6hPsqtP7FZbhx","chart",35.77875,"easy"
"5JDFvPXkSznwyMAC5","chart",51.12375,"easy"
"6mKtSBrzBBPyic4HP","chart",42.32175,"easy"
"7SnZEt5u4cDaQp3Ti","chart",27.854,"easy"
"7u5XdW2fvvpQyQEw2","chart",37.62625,"easy"
"8GZPtZAAnG8Fm4ciK","chart",40.07725,"easy"
"9pdsf5midvhEDBrQa","chart",48.707,"easy"
"BcJjiDTZjYJvWTCe3","chart",45.1265,"easy"
"CKf5XfBAJpfcGsvT2","chart",49.221,"easy"
"D6XMoj2aKSjtJSEJf","chart",53.8605,"easy"
"EmzJRiyqRKCougYZN","chart",103.69875,"easy"
"Exj6H7bRPSCjPigQm","chart",45.04075,"easy"
"G6zbMK6ZZ9JcN7KgD","chart",31.57025,"easy"
"GDZ999tSLx7bJTjCH","chart",28.8565,"easy"
"HCJjRGzyJLFgbeDem","chart",43.7905,"easy"
"Ke592aJdjyNZ4ntW3","chart",167.9685,"easy"
"KmKn9NMEfj2whSPT2","chart",94.07925,"easy"
"LsyvaxixbfNLFBxLj","chart",41.218,"easy"
"PKgrWHAhesWh7iJ6z","chart",75.105,"easy"
"PpXojivkwpZLtvhh7","chart",62.48775,"easy"
"QzCkGfR5Sqv6EkKD5","chart",45.467,"easy"
"R2xdmvvBWBFZjLLLj","chart",43.3245,"easy"
"R3xdYFqaJp4J3wGF7","chart",45.241,"easy"
"RHxAXBeu3bNHSrwrH","chart",82.24925,"easy"
"SQGukoGkEKRKRwcDQ","chart",43.669,"easy"
"SRXvtxnkZ3oFdqzLQ","chart",36.06625,"easy"
"SbBJYTDgm6FCG7xGG","chart",24.904,"easy"
"Snxk6v7KGNcD3omw3","chart",43.81375,"easy"
"SyhdSuB4y9NgPMA6H","chart",87.5375,"easy"
"W9KmHzPDL9zgejZBv","chart",48.6255,"easy"
"WT6eAuzxb2q9D2dKy","chart",44.9895,"easy"
"Y8MQD9crBw3XCtvHa","chart",59.1565,"easy"
"Y8eiaT7fnGm8vH2s9","chart",46.6345,"easy"
"YL7udNgoFoKPu5hF5","chart",61.687,"easy"
"Yr5Zvv6H9SZSqizrr","chart",43.578,"easy"
"ZBLBSAhYkJ4YhKXHy","chart",76.3485,"easy"
"ZLTTgMCadn3BcvAuZ","chart",35.21575,"easy"
"Zozdc9QR8pqdDuEwD","chart",77.96025,"easy"
"ZvNs6QCxpMBYhpfAo","chart",66.04025,"easy"
"aKpbREh99H6n95KiC","chart",65.73625,"easy"
"bByT7Rh9roCmbqaGC","chart",30.26275,"easy"
"bsEpkh7YojCJLghEd","chart",57.18775,"easy"
"cgYyY4fTJXA56ctZL","chart",53.8695,"easy"
"cr57saSB3apE9rfTz","chart",68.41025,"easy"
"d4WEZyZkMm48TdGgs","chart",77.99575,"easy"
"dYCJXPSnQ9T3YobK4","chart",56.424,"easy"
"dZ8KiZZ2E3tazJAkN","chart",41.36775,"easy"
"deejY9yj8hNefPrXY","chart",127.49175,"easy"
"dmd8zDgoEDghk799k","chart",60.47725,"easy"
"g5GEZn5hfoCkLqBLv","chart",39.514,"easy"
"gfs5G7LwXHLy9S5MP","chart",131.2775,"easy"
"ghaAPFo6Xv3B9BZLK","chart",88.09775,"easy"
"hPNTYGwERATDGDmLd","chart",33.9745,"easy"
"iQNwNrzPorJeZRigg","chart",71.92275,"easy"
"iZc3BMSXq68FKL3J8","chart",75.78275,"easy"
