"ls.id","ls.viz","ls.speed","ls.actions","ls.accuracy"
"1","44Q3cDweeZi2KdNrQ","dots",45.15175,6.25,1
"2","49wAhBNrW23jx3XXn","dots",30.0345,2.25,0
"3","4k5RPShwnGPRsGyT5","dots",39.84725,6,1
"4","4yFSjAcLo8Xpb5NBr","dots",39.99725,7,0.5
"5","565FWNPmM73esEnv7","dots",55.258,9.5,0.75
"6","5L4DdJBz8gq2Fug2c","dots",35.6575,5.5,0.5
"7","6bJLH7KTRKX24rdzY","dots",43.688,5.5,0.75
"8","6hgn73CdCNRrsor7j","dots",47.9995,10.25,0.75
"9","6saGvz5mG5TgySvef","dots",44.32,4.25,0.75
"10","6uWMQQ6rvPijqaHNb","dots",54.606,7.25,1
"11","6w7CZYGQNDrpj7Dfp","dots",37.67525,1.75,0.25
"12","7mkiJ4PwnZGd2X5r3","dots",61.47875,7.5,1
"13","7sxqmnM8jPLCjgvur","dots",72.87875,4.75,1
"14","BGRvy45SSZdLGcDG9","dots",59.708,11,0.5
"15","BRKEpiDsoBxXrNKWE","dots",51.85475,12,1
"16","ChMyMnHcj3MDEjgQT","dots",60.593,6.25,1
"17","DAF22qWpCZ47gHCzY","dots",6.80325,1.25,0
"18","DejXtMhqHs5NKZnzH","dots",55.03825,5,0.75
"19","G6dBvgqckNkQ6g2gB","dots",69.27425,10.25,0.5
"20","GEZt6ZhsCGbMQtuXb","dots",37.35975,6,0.75
"21","GJs3xFDrbmEwXYAkh","dots",59.569,5.75,0.75
"22","GM4BbQSYSjxzjrERS","dots",78.20375,12.75,0
"23","JTxorRPnKEGqjSq4K","dots",79.5,6,0.5
"24","Je8XpG9m9hC9hToY4","dots",64.339,2,0.5
"25","JkH5ARHNWebYz6nGM","dots",58.43525,5.25,1
"26","JodzAGSWFtbvdeSqk","dots",7.01175,1.75,0.25
"27","KT37QyJpjP4JnFivG","dots",110.8535,10.25,0.75
"28","LHMtg4o7REozFZQst","dots",43.78975,5.75,0.25
"29","LzuRw7CoatTcNqkTa","dots",68.86025,18.25,0.5
"30","NQCMNnTz4xWZApaQB","dots",6.89725,1.5,0
"31","NWX67F5zDpwL4WnxW","dots",43.74725,5,0.75
"32","PwEBrnoa3rZjouL34","dots",43.0765,5.5,1
"33","QYunZ6tMA7J26vjAd","dots",177.90075,7,0.25
"34","So6vS7RTzcjczT2Ez","dots",62.33275,6.25,0.75
"35","TX9Dts9gXNPXMz8rB","dots",44.3595,8.25,0.25
"36","TkfAAFTqB28dK39oz","dots",91.9305,8.25,0
"37","WP5PCfQxB3wEAurmg","dots",58.9745,10.5,0.75
"38","XYBg97mNbPsE3LvZ3","dots",9.0555,2.25,0
"39","Xvfo9pTPRFTcRWZjk","dots",37.86625,4.75,0.5
"40","YuvzrAZxcQM3iybyi","dots",118.68375,7,0.75
"41","Z6Hs8C578xLyc3mPW","dots",10.45575,1.75,0
"42","bLmrD6kL2LcejcDGG","dots",62.512,6.25,1
