"ls.id","ls.viz","ls.speed","ls.actions","ls.accuracy"
"1","44Q3cDweeZi2KdNrQ","dots",43.64525,9,0.75
"2","49wAhBNrW23jx3XXn","dots",28.361,6.5,0.75
"3","4k5RPShwnGPRsGyT5","dots",45.68875,6.25,1
"4","4yFSjAcLo8Xpb5NBr","dots",39.5945,12.5,0.75
"5","565FWNPmM73esEnv7","dots",82.22075,14,0.25
"6","5L4DdJBz8gq2Fug2c","dots",63.7905,11.75,0.25
"7","6bJLH7KTRKX24rdzY","dots",33.17025,7.75,0.75
"8","6hgn73CdCNRrsor7j","dots",31.81925,5.75,1
"9","6saGvz5mG5TgySvef","dots",82.1895,9.25,1
"10","6uWMQQ6rvPijqaHNb","dots",66.4865,8.5,0.75
"11","6w7CZYGQNDrpj7Dfp","dots",24.3595,1.75,0.5
"12","7mkiJ4PwnZGd2X5r3","dots",55.65675,7,1
"13","7sxqmnM8jPLCjgvur","dots",91.40375,7.25,0.5
"14","BGRvy45SSZdLGcDG9","dots",53.943,7,0.5
"15","BRKEpiDsoBxXrNKWE","dots",67.0355,11,1
"16","ChMyMnHcj3MDEjgQT","dots",61.681,6.75,0.75
"17","DAF22qWpCZ47gHCzY","dots",7.59225,1.5,0.5
"18","DejXtMhqHs5NKZnzH","dots",38.4435,8.25,0.75
"19","G6dBvgqckNkQ6g2gB","dots",66.9745,12,0.75
"20","GEZt6ZhsCGbMQtuXb","dots",48.113,14.75,0.75
"21","GJs3xFDrbmEwXYAkh","dots",55.09825,7.5,0.75
"22","GM4BbQSYSjxzjrERS","dots",47.3085,9,0.5
"23","JTxorRPnKEGqjSq4K","dots",75.60525,7.75,0.5
"24","Je8XpG9m9hC9hToY4","dots",145.79325,15.25,0.5
"25","JkH5ARHNWebYz6nGM","dots",60.1995,8.75,0.5
"26","JodzAGSWFtbvdeSqk","dots",6.59675,1,0.25
"27","KT37QyJpjP4JnFivG","dots",92.316,7.75,0.75
"28","LHMtg4o7REozFZQst","dots",44.42425,8.25,0.75
"29","LzuRw7CoatTcNqkTa","dots",46.22225,16.25,0.25
