"ls.id","ls.viz","ls.speed","ls.actions","ls.accuracy"
"1","44Q3cDweeZi2KdNrQ","dots",38.17525,6.25,1
"2","49wAhBNrW23jx3XXn","dots",9.59875,3.25,0.25
"3","4k5RPShwnGPRsGyT5","dots",33.6055,4.5,1
"4","4yFSjAcLo8Xpb5NBr","dots",37.449,9,0.5
"5","565FWNPmM73esEnv7","dots",41.05,11.25,1
"6","5L4DdJBz8gq2Fug2c","dots",74.793,7.25,1
"7","6bJLH7KTRKX24rdzY","dots",38.01375,5.75,1
"8","6hgn73CdCNRrsor7j","dots",26.94325,10.5,1
"9","6saGvz5mG5TgySvef","dots",38.404,6,1
"10","6uWMQQ6rvPijqaHNb","dots",71.141,7.75,1
"11","6w7CZYGQNDrpj7Dfp","dots",34.07625,2,0.25
"12","7mkiJ4PwnZGd2X5r3","dots",76.766,6,1
"13","7sxqmnM8jPLCjgvur","dots",69.61225,7.75,0.5
"14","BGRvy45SSZdLGcDG9","dots",41.98525,4.75,0.75
"15","BRKEpiDsoBxXrNKWE","dots",60.97975,7.75,0.75
"16","ChMyMnHcj3MDEjgQT","dots",49.10275,8.25,1
"17","DAF22qWpCZ47gHCzY","dots",8.58925,1.75,0
"18","DejXtMhqHs5NKZnzH","dots",84.52875,5.75,0.75
"19","G6dBvgqckNkQ6g2gB","dots",55.1355,9.5,0.75
"20","GEZt6ZhsCGbMQtuXb","dots",35.13375,7.75,1
"21","GJs3xFDrbmEwXYAkh","dots",104.45825,7.25,0.75
"22","GM4BbQSYSjxzjrERS","dots",77.47575,6.25,0.25
"23","JTxorRPnKEGqjSq4K","dots",70.41625,8.25,0.75
"24","Je8XpG9m9hC9hToY4","dots",29.23825,4.25,0.75
"25","JkH5ARHNWebYz6nGM","dots",48.145,8.25,0.75
"26","JodzAGSWFtbvdeSqk","dots",6.7775,1.25,0
"27","KT37QyJpjP4JnFivG","dots",156.85075,9.5,0.75
"28","LHMtg4o7REozFZQst","dots",62.96675,6.5,0.75
"29","LzuRw7CoatTcNqkTa","dots",51.03975,17.75,0.75
"30","NQCMNnTz4xWZApaQB","dots",6.7565,2,0
"31","NWX67F5zDpwL4WnxW","dots",30.7175,6,1
"32","PwEBrnoa3rZjouL34","dots",26.14475,4.75,0.75
"33","QYunZ6tMA7J26vjAd","dots",45.27625,6.5,0.5
"34","So6vS7RTzcjczT2Ez","dots",42.18925,4.25,0.75
"35","TX9Dts9gXNPXMz8rB","dots",25.712,6,0.25
"36","TkfAAFTqB28dK39oz","dots",55.03775,7.5,0
"37","WP5PCfQxB3wEAurmg","dots",49.5205,8.75,1
"38","XYBg97mNbPsE3LvZ3","dots",8.9605,1.5,0
"39","Xvfo9pTPRFTcRWZjk","dots",39.72725,5.75,1
"40","YuvzrAZxcQM3iybyi","dots",46.20825,5.25,1
"41","Z6Hs8C578xLyc3mPW","dots",6.9865,1.75,0
"42","bLmrD6kL2LcejcDGG","dots",49.17225,8,0.75
"43","bNfX5RtGxcjjEaQnm","dots",53.86775,8.25,0.75
"44","ciXN2wMuNmuSQ39g2","dots",31.8835,5.5,1
"45","eFKFSc7w9LpttzJXf","dots",29.706,1.25,0
"46","eH6KnmqCsvg7MYmLA","dots",33.285,4.5,0.75
"47","eneTp6w6pA84Mei59","dots",56.7015,10.5,1
"48","fZtpasQDW9KEkvNvm","dots",109.4605,6.75,0.75
"49","gg3R6eX4snK5WPerg","dots",41.56425,5,1
"50","gkKbippZgDj7cmuE5","dots",22.17375,5.5,1
"51","gmhXAx3kc6sHGYumc","dots",63.0335,11.5,1
"52","gmmuoNCkMmb4GrMiY","dots",53.53975,12.5,1
"53","h5YWLzcpNyYqbXw6v","dots",7.063,1.25,0
"54","iZbujpH9ftg6KsTR6","dots",77.65825,13.25,1
"55","in8NNmBKCnkoLWHvR","dots",15.829,5.25,1
"56","jXZn9X83ef2JJBFwg","dots",28.1925,5.25,1
