"ls.id","ls.viz","ls.speed","ls.actions","ls.accuracy"
"1","2Q34zAD2zTXRBaKu8","series",79.05875,9,0.75
"2","2pWSXLKqvCx7eLRHz","series",37.83725,7,0.75
"3","44MoHdTtHYg8Qim7C","series",80.63175,10.25,1
"4","5jp6HzWG9rMCBuRir","series",42.19625,7.5,0.25
"5","67e6Jh7hWzotbX4Er","series",85.42125,12.75,0.5
"6","6YiN7fLiZ8SDvsbLQ","series",58.1305,6.75,0.75
"7","6zyqucmdag4Xa4iSN","series",82.751,5.25,0.75
"8","7kwt7pEsqN4qM28QR","series",65.86275,7.25,1
"9","7rxAoRJmJHaX26cqT","series",48.616,4,1
"10","83NZFPecaGdFaxyyt","series",65.1855,10,1
"11","8mqew4zMANoi4fjsz","series",71.18425,14,0.75
"12","9bnFuHDpLcZFdwqxW","series",65.0185,6,1
"13","BgpK75C5uxeoHow2C","series",42.741,8,0
"14","CBdaPJBEBq2xTJvgi","series",34.67775,5.75,1
"15","CzQsYF2oyREYEL3px","series",35.34625,5.75,1
"16","DAK7qCYagGXaKmTZy","series",56.04025,3.25,0.5
"17","DpfKW34oXPR9XvjKQ","series",55.2975,6.25,0.75
"18","EB2LaCrRfSNBuQ4vZ","series",95.52625,9.75,0.75
"19","EbtiYzqZtKd68LSjv","series",58.10525,7.5,0.75
"20","Eqn4ype3Z9xvpy6jD","series",51.90925,9,0.5
"21","FMACGWEb2mpFmzcy8","series",94.173,7.5,1
"22","FTWQdHzfYQebiCvue","series",53.922,5.5,1
"23","FqCqdGdj9BARepSne","series",55.67975,5.75,0.75
"24","HR5hGs4XkMDoDYfhQ","series",79.3325,6,0.75
"25","HStqpovWTqfwSwfpC","series",58.969,5.75,0.75
"26","HSzZRx9bSdXWiRdLk","series",64.84275,3.5,0.75
"27","HYLe8iN7tKsJQZQjt","series",58.2765,9.5,0.5
"28","HpKs8JeagNQCAHcYx","series",49.61025,6.25,0.75
"29","HttjEXro9w8B2reDD","series",75.52975,10,0.75
"30","JqfvicGQJXeeKRJ64","series",60.8465,13.5,0.25
"31","JtNC5LZmmsmt7BrXm","series",101.0515,4,0.75
"32","KBG93DoQC4YeksP73","series",42.21275,11.25,0.75
"33","KDkcqMDJgbEfuyecm","series",65.703,5.5,0.75
"34","KSaHABwnWq7vMF8ud","series",46.5995,8.75,0.5
"35","KXyDP5KMrmHR7bWvw","series",43.63125,6,0.75
"36","KeeScEwzE7d7Y8pjM","series",64.9605,4.75,0.75
"37","Ks7TdoNZwHMhapYuY","series",47.4635,10.25,0.75
"38","L6hhWSmzt5Gre4bMc","series",93.6765,6,0.75
"39","NLnWB24ANhreeNFuh","series",49.10325,3.5,0.75
"40","NZrcevWgubZ6E9Lc4","series",81.7855,7.25,0.75
"41","NisupxDZ8oQayBpB5","series",45.27225,5.75,0.75
"42","NzaXeMLv7jexivZFF","series",77.85825,3.75,0.75
"43","SQHrrqMRPZPWfD6d3","series",83.7305,16.5,0.5
"44","SphgvbbrKkYNYaWNd","series",87.339,6.75,1
"45","T9MpgtZq3LAy2rhjX","series",117.7425,25.5,0.75
"46","TJadZckir3gGdGQj9","series",69.0705,10.25,0.5
"47","TZKHo2T9ywkiKhPyX","series",82.88475,15.5,1
"48","TbhJt2kCMtWXJ387e","series",105.93325,5.5,0.5
"49","W7XciYuzprjnwgbTP","series",32.06425,3,0.5
"50","WW9zqyfyPHjFS6fPR","series",36.638,3,0.75
"51","We3Btupw8RnuCSnYC","series",51.105,7,0.5
"52","YDbqWAi595CRKxbjf","series",93.85125,7.5,0.75
"53","YJzWPZRYPHG3rRrBw","series",33.0705,6.75,1
"54","YSX6542MwRYTZdDFW","series",100.6895,11,0.5
"55","Z3aTLPbG8wvPy6TzA","series",58.0865,5.25,0.75
"56","ZHNtTdcsi2rTaqr3H","series",103.7695,12.25,0.75
"57","ZinxDRBpTmbfPbyh3","series",117.17525,8.75,0.5
"58","anADbMMrWqwy5fpXL","series",52.23425,6.5,0.5
"59","dLfWKPg4vzZENza7s","series",28.53575,5.25,1
"60","dtQA2mR79kEjZbCtx","series",75.5825,8.75,0.5
"61","eJLcPS8n3aLYMZetQ","series",25.3245,6.25,0.75
"62","eWYf558HzqZYTLXjd","series",82.84975,10,0.75
"63","eneKDk3QDTpghzkg5","series",67.45175,8.25,0.5
"64","fJ9m7KSykZNBKraP9","series",107.64975,13.25,0.75
"65","fnybrL5hbku3RuxsW","series",73.79075,9,0.75
"66","fqMr9DzgADfvbhEFP","series",64.0095,7.75,0.75
"67","g8752kBeS4S7Q2bFZ","series",65.57725,6.5,1
"68","gjHnYbyFFisfigApY","series",78.51625,5.25,0.75
"69","hgYDJshRwxs7egfvX","series",66.32475,10.5,0.25
"70","iACT8Wc9PosXt7xH6","series",41.74775,6.5,0.75
"71","jT3SAdPp5gfHr4k4n","series",64.903,4.75,0.25
"72","jbuSnNTzpPv7iQPGq","series",77.48275,7.5,1
"73","kJCFGZGPqBPM5NiEu","series",46.59375,7.25,0.75
"74","kuA7hMBw2iFfwZ9fw","series",68.76025,5,0.75
"75","mh9p2kSQWvM8uAEK7","series",28.85275,9.25,0.75
"76","nAPiCihqksXL2XbTM","series",76.08325,8,0.75
"77","nPCqhcMdGm39zbLEe","series",62.306,3.75,0.75
"78","nnqqJDqAKBySbdvdE","series",43.70575,7.5,0.75
"79","obXkTyEzXzSrubofE","series",48.82275,4.75,0.75
"80","qNMBxhDWJv2wbJPzh","series",72.9095,5.5,1
