"ls.id","ls.viz","ls.speed","ls.actions","ls.accuracy"
"1","2Q34zAD2zTXRBaKu8","series",83.992,7.75,0.75
"2","2pWSXLKqvCx7eLRHz","series",34.86375,8.5,0.75
"3","44MoHdTtHYg8Qim7C","series",40.695,9.5,0.75
"4","5jp6HzWG9rMCBuRir","series",33.4395,7.5,0.25
"5","5wq33Aywb9yuzJmtg","series",66.33225,13,0.5
"6","67e6Jh7hWzotbX4Er","series",73.37325,10.5,1
"7","6YiN7fLiZ8SDvsbLQ","series",36.9305,9.25,0.75
"8","6zyqucmdag4Xa4iSN","series",50.5925,9.5,0.75
"9","7kwt7pEsqN4qM28QR","series",59.83575,9.75,1
"10","7rxAoRJmJHaX26cqT","series",49.41625,6.75,0.75
"11","83NZFPecaGdFaxyyt","series",49.74075,11,0.5
"12","8mqew4zMANoi4fjsz","series",47.023,8.25,0.75
"13","9bnFuHDpLcZFdwqxW","series",62.25325,10.5,0.75
"14","BgpK75C5uxeoHow2C","series",35.679,6.75,0.5
"15","CBdaPJBEBq2xTJvgi","series",26.824,6.25,0.75
"16","CzQsYF2oyREYEL3px","series",34.3705,7,1
"17","DAK7qCYagGXaKmTZy","series",63.383,5,1
"18","DpfKW34oXPR9XvjKQ","series",43.8125,9.25,1
"19","EB2LaCrRfSNBuQ4vZ","series",46.7325,6.75,0.75
"20","EbtiYzqZtKd68LSjv","series",70.9015,7.75,0.75
"21","Eqn4ype3Z9xvpy6jD","series",62.84275,23.5,0.5
"22","FMACGWEb2mpFmzcy8","series",62.696,10.25,1
"23","FTWQdHzfYQebiCvue","series",44.46925,8,0.75
"24","FqCqdGdj9BARepSne","series",45.42725,7.5,0.75
"25","HR5hGs4XkMDoDYfhQ","series",94.53475,6,1
"26","HStqpovWTqfwSwfpC","series",51.3695,8.25,1
"27","HSzZRx9bSdXWiRdLk","series",32.48725,6.25,1
"28","HYLe8iN7tKsJQZQjt","series",44.7975,8.25,0.75
"29","HpKs8JeagNQCAHcYx","series",34.8175,5,0.75
"30","HttjEXro9w8B2reDD","series",77.2875,13.75,0.75
