"ls.id","ls.viz","ls.speed","ls.actions","ls.accuracy"
"1","2Q34zAD2zTXRBaKu8","series",67.70075,7.75,1
"2","2pWSXLKqvCx7eLRHz","series",27.50575,7.75,0.75
"3","44MoHdTtHYg8Qim7C","series",34.985,5.25,1
"4","5jp6HzWG9rMCBuRir","series",60.92875,16.5,0.5
"5","5wq33Aywb9yuzJmtg","series",44.7445,14.25,0
"6","67e6Jh7hWzotbX4Er","series",88.68625,10.25,1
"7","6YiN7fLiZ8SDvsbLQ","series",52.32625,8.5,0.75
"8","6zyqucmdag4Xa4iSN","series",38.8275,4.75,1
"9","7kwt7pEsqN4qM28QR","series",134.268,7.75,1
"10","7rxAoRJmJHaX26cqT","series",38.38425,5.75,1
"11","83NZFPecaGdFaxyyt","series",41.944,9.75,1
"12","8mqew4zMANoi4fjsz","series",90.43,9.75,1
"13","9bnFuHDpLcZFdwqxW","series",39.69475,5,1
"14","BgpK75C5uxeoHow2C","series",38.35,9.75,0
"15","CBdaPJBEBq2xTJvgi","series",23.5175,4.25,1
"16","CzQsYF2oyREYEL3px","series",28.3645,6.5,1
"17","DAK7qCYagGXaKmTZy","series",45.8105,3.25,1
"18","DpfKW34oXPR9XvjKQ","series",91.15625,9,1
"19","EB2LaCrRfSNBuQ4vZ","series",36.142,4.5,1
"20","EbtiYzqZtKd68LSjv","series",51.77075,8.75,1
"21","Eqn4ype3Z9xvpy6jD","series",76.147,3.5,0.25
"22","FMACGWEb2mpFmzcy8","series",36.89675,7.5,1
"23","FTWQdHzfYQebiCvue","series",41.5525,7.75,1
"24","FqCqdGdj9BARepSne","series",31.135,6.5,0.5
"25","HR5hGs4XkMDoDYfhQ","series",63.32825,5.5,1
"26","HStqpovWTqfwSwfpC","series",45.48225,7.5,0.75
"27","HSzZRx9bSdXWiRdLk","series",34.467,6.5,1
"28","HYLe8iN7tKsJQZQjt","series",52.60825,7,1
"29","HpKs8JeagNQCAHcYx","series",31.04675,4.25,0.75
"30","HttjEXro9w8B2reDD","series",57.63375,9.5,1
"31","JqfvicGQJXeeKRJ64","series",65.0145,13.25,0.5
"32","JtNC5LZmmsmt7BrXm","series",56.0645,6.5,0.75
"33","KBG93DoQC4YeksP73","series",38.37325,10.5,1
"34","KDkcqMDJgbEfuyecm","series",41.34775,7.5,1
"35","KSaHABwnWq7vMF8ud","series",42.18675,5.5,0.75
"36","KXyDP5KMrmHR7bWvw","series",34.483,5.75,1
"37","KeeScEwzE7d7Y8pjM","series",48.05125,8.75,1
"38","Ks7TdoNZwHMhapYuY","series",48.19025,12.5,1
"39","L6hhWSmzt5Gre4bMc","series",51.04475,5.5,1
"40","NLnWB24ANhreeNFuh","series",40.57875,6.25,1
"41","NZrcevWgubZ6E9Lc4","series",55.29525,6.25,1
"42","NisupxDZ8oQayBpB5","series",26.97,5.25,1
"43","NzaXeMLv7jexivZFF","series",127.2925,7.25,0.75
"44","SQHrrqMRPZPWfD6d3","series",48.11225,7.5,0.5
"45","SphgvbbrKkYNYaWNd","series",51.2475,8.25,0.75
"46","T9MpgtZq3LAy2rhjX","series",55.737,10,1
"47","TJadZckir3gGdGQj9","series",71.24825,17.75,0.75
"48","TZKHo2T9ywkiKhPyX","series",44.608,7,1
"49","TbhJt2kCMtWXJ387e","series",49.05125,7,1
"50","W7XciYuzprjnwgbTP","series",43.56025,6.5,0.75
"51","WW9zqyfyPHjFS6fPR","series",40.18575,5.5,0.75
"52","We3Btupw8RnuCSnYC","series",49.34425,10.25,1
"53","YDbqWAi595CRKxbjf","series",65.25625,12.5,0.75
"54","YJzWPZRYPHG3rRrBw","series",35.07825,5.75,1
"55","YSX6542MwRYTZdDFW","series",60.2915,5.5,0.75
"56","Z3aTLPbG8wvPy6TzA","series",30.728,5,1
"57","ZHNtTdcsi2rTaqr3H","series",32.44975,7,1
"58","ZinxDRBpTmbfPbyh3","series",61.2435,8.5,1
"59","anADbMMrWqwy5fpXL","series",60.5595,6.5,0.5
"60","dLfWKPg4vzZENza7s","series",28.05975,6,1
"61","dtQA2mR79kEjZbCtx","series",55.75675,10.5,0
"62","eJLcPS8n3aLYMZetQ","series",19.8345,5.25,1
"63","eWYf558HzqZYTLXjd","series",90.27125,12.25,0.75
"64","eneKDk3QDTpghzkg5","series",42.5195,7,0.5
"65","fJ9m7KSykZNBKraP9","series",78.45375,22.25,0.75
"66","fnybrL5hbku3RuxsW","series",50.12725,5.25,0.75
"67","fqMr9DzgADfvbhEFP","series",51.244,11.5,1
"68","g8752kBeS4S7Q2bFZ","series",54.16025,4.75,1
"69","gjHnYbyFFisfigApY","series",52.83725,5.25,1
"70","hgYDJshRwxs7egfvX","series",62.0075,11,0
"71","iACT8Wc9PosXt7xH6","series",34.7685,6.25,0.75
"72","jT3SAdPp5gfHr4k4n","series",75.955,13.75,1
"73","jbuSnNTzpPv7iQPGq","series",46.865,5,1
"74","kJCFGZGPqBPM5NiEu","series",30.2645,5.5,1
"75","kuA7hMBw2iFfwZ9fw","series",50.30925,4.25,1
"76","mh9p2kSQWvM8uAEK7","series",22.61625,7.25,1
"77","nAPiCihqksXL2XbTM","series",60.075,10,1
"78","nPCqhcMdGm39zbLEe","series",36.688,6.25,1
"79","nnqqJDqAKBySbdvdE","series",33.786,5,0.75
"80","obXkTyEzXzSrubofE","series",63.944,6.5,1
"81","qNMBxhDWJv2wbJPzh","series",103.54875,5.25,1
"82","qZwnWqNYBMnLCHzz2","series",31.4385,7.5,1
"83","qjzv49dPMBpv5LSyA","series",61.61475,5.75,1
"84","rP3cpBASPsit6sCMQ","series",36.1185,6.75,1
"85","sndaJBRShTy4bzbPq","series",30.7745,6,0.75
"86","stmcDKF2QPkaxzcxZ","series",39.611,10.5,1
"87","uTbjZ8i4j5enGeHvQ","series",107.32925,8.5,0.25
"88","uf8PMATFx4hCcscLz","series",43.0525,8,1
"89","vF6k2cJjTXN2jH9Jj","series",45.80975,5,1
